,dog,cat,elephant,dolphin,penguin,giraffe,tiger,horse,butterfly,bird
779,3.0,5.5,3.875,5.25,5.5,6.875,2.0,3.5,5.625,5.75
780,3.375,6.5,4.75,6.0,7.0,8.375,4.375,4.375,6.875,7.0
781,4.625,7.5,5.0,6.25,7.375,7.625,3.5,5.75,7.5,7.25
782,3.75,6.625,4.0,5.125,6.375,7.125,2.875,3.75,6.875,6.0
783,3.75,6.125,4.125,4.75,6.25,7.625,3.25,3.75,7.375,6.5
784,4.5,6.875,5.0,5.0,6.375,7.625,3.0,4.5,7.0,5.75
785,4.5,7.25,7.25,5.5,7.0,10.3125,4.5,6.375,9.625,7.25
786,4.25,7.75,5.75,7.5,6.375,8.75,6.0,5.125,8.0,6.5
787,1.625,5.0,3.75,5.875,4.125,6.75,2.625,4.75,10.0,8.875
788,4.625,6.625,5.625,6.75,6.625,9.625,4.125,5.5,9.25,7.375
789,4.75,7.625,3.625,6.0,5.5,7.25,2.875,3.75,7.25,6.375
790,4.375,6.5,5.0,7.0,6.75,7.875,4.0,4.5,8.0,7.375
791,3.75,6.125,5.5,6.0,7.375,7.75,3.125,5.0,7.875,7.25
792,2.875,6.375,4.5,6.375,7.0,7.625,3.0,4.125,7.0,6.5
793,4.0,6.625,5.0,6.125,7.625,7.75,3.375,5.25,8.0,8.25
794,4.0,6.125,6.125,6.0,7.25,8.25,4.0,5.25,7.125,6.875
795,4.375,6.5,5.875,6.875,9.8125,10.5,4.0,6.875,9.5,8.625
796,1.0,3.75,3.0,3.5,4.625,6.125,2.0,3.25,4.75,4.625
797,2.625,5.625,4.75,5.75,6.375,8.0,3.125,4.375,8.875,6.75
798,3.5,7.125,5.875,5.375,8.9375,9.6875,5.75,5.75,8.875,7.875
799,3.5,7.25,5.75,5.375,7.5,8.25,4.0,5.375,8.5,7.5
800,1.625,3.5,5.125,3.125,5.125,7.0,3.875,2.75,5.875,4.625
801,2.625,6.25,5.875,4.625,8.0,7.5,4.625,4.875,6.75,7.875
802,2.125,6.125,5.625,4.375,6.5,6.625,3.5,3.875,9.5,8.875
803,3.625,7.5,6.375,5.5,8.125,8.375,5.5,5.0,8.5,7.875
804,4.0,7.125,6.625,4.875,7.0,7.75,5.75,5.875,7.5,7.875
805,4.75,6.375,7.0625,6.875,8.375,9.875,5.5,5.125,9.75,7.625
806,4.0,6.75,6.25,2.0,4.25,7.125,5.375,6.75,5.5,6.25
807,3.125,6.5,5.5,4.5,6.5,7.375,3.625,4.75,7.875,7.0
808,5.625,6.5,7.8125,6.25,8.125,6.5,8.75,6.625,8.25,9.0
809,1.75,4.625,5.25,4.625,7.125,6.5,3.625,3.5,6.0,6.375
810,4.125,7.25,7.8125,6.0,7.875,7.75,5.875,5.25,7.875,7.625
811,2.25,4.25,7.1875,3.75,5.625,8.125,5.375,3.0,6.625,6.25
812,3.5,5.875,5.5,5.625,7.375,7.125,3.875,4.125,6.75,6.375
813,3.875,6.75,4.25,5.375,7.125,6.625,5.125,4.375,7.375,7.0
814,4.875,7.0,6.5625,5.5,8.375,9.0,4.25,6.125,8.125,8.0
815,1.125,4.0,5.5,5.25,6.75,6.25,2.375,2.0,7.0,5.375
816,4.875,8.5,6.375,5.0,8.25,9.75,5.75,5.5,8.375,7.125
817,2.875,6.75,3.75,4.75,6.25,7.25,2.875,4.375,8.5,6.25
818,5.375,8.875,6.5,7.25,9.875,11.5625,9.0,6.5,11.375,8.875
819,4.125,8.125,4.375,5.125,7.875,7.5,4.25,4.375,5.75,6.5
820,2.125,5.875,4.5,4.125,5.375,5.875,3.375,2.875,5.5,5.125
