,dog,cat,elephant,dolphin,penguin,giraffe,tiger,horse,butterfly,bird
279,-21.875,-21.375,-17.25,-19.25,-17.875,-17.125,-21.0,-23.625,-24.625,-21.375
280,-23.25,-24.125,-18.25,-20.75,-19.375,-18.0,-21.25,-24.75,-25.125,-22.25
281,-23.0,-23.375,-18.75,-19.125,-18.375,-18.75,-21.0,-23.375,-25.0,-21.375
282,-21.5,-21.0,-17.375,-17.875,-17.625,-17.375,-20.5,-23.625,-23.125,-21.0
283,-21.5,-22.625,-17.125,-19.0,-17.0,-17.0,-20.75,-22.625,-23.0,-20.5
284,-22.625,-23.25,-17.75,-20.25,-18.625,-16.5,-21.5,-23.25,-24.0,-21.875
285,-20.875,-21.375,-16.125,-18.625,-17.75,-15.25,-20.75,-22.25,-21.375,-20.375
286,-21.0,-20.875,-17.125,-21.625,-20.375,-18.5,-21.625,-22.25,-25.75,-21.125
287,-22.5,-22.25,-17.875,-19.625,-17.625,-16.75,-22.5,-22.375,-22.375,-20.0
288,-20.875,-21.25,-16.375,-18.375,-17.75,-15.625,-20.0,-22.375,-22.5,-20.5
289,-22.375,-20.5,-18.125,-20.25,-17.5,-15.875,-20.0,-24.125,-22.75,-22.0
290,-23.75,-23.75,-18.75,-20.0,-19.0,-18.125,-22.375,-24.625,-25.0,-22.375
291,-22.625,-23.5,-18.625,-20.375,-19.125,-18.5,-22.875,-24.125,-24.75,-21.75
292,-22.75,-23.125,-18.25,-18.75,-19.0,-18.25,-21.625,-24.125,-24.5,-22.25
293,-20.75,-21.75,-17.5,-17.875,-17.25,-15.8125,-20.625,-22.125,-22.5,-20.125
294,-21.375,-22.25,-18.0,-18.875,-19.125,-17.75,-21.625,-22.625,-24.375,-21.75
295,-21.375,-22.75,-16.625,-17.25,-17.375,-15.4375,-21.625,-21.25,-21.875,-20.375
296,-23.5,-23.125,-19.25,-19.25,-19.0,-18.625,-23.375,-23.0,-25.25,-22.5
297,-22.875,-22.25,-18.125,-18.875,-18.375,-16.0,-22.125,-22.625,-22.75,-21.125
298,-22.875,-22.625,-18.25,-19.5,-18.5,-17.75,-21.625,-23.875,-24.625,-22.25
299,-22.5,-22.625,-17.625,-20.125,-18.0,-17.25,-21.25,-24.0,-23.75,-21.25
300,-25.25,-25.0,-20.625,-25.375,-23.625,-24.0,-18.5,-23.0,-29.0,-27.0
301,-21.375,-22.125,-17.75,-20.625,-17.25,-16.5,-20.75,-22.375,-24.0,-19.5
302,-22.875,-21.625,-18.5,-18.625,-17.375,-17.875,-20.5,-22.875,-23.5,-20.25
303,-20.875,-21.0,-16.625,-17.0,-15.1875,-14.75,-18.75,-20.375,-20.5,-17.875
304,-22.375,-25.625,-19.875,-19.0,-19.125,-17.25,-20.0,-22.5,-24.25,-21.375
305,-22.25,-23.75,-19.875,-16.5,-19.625,-19.5,-19.625,-21.75,-21.25,-20.75
306,-21.625,-22.375,-16.75,-19.75,-17.625,-17.0,-20.5,-20.75,-24.125,-20.125
307,-20.875,-22.25,-16.875,-20.5,-17.5,-16.25,-20.25,-20.5,-24.125,-20.125
308,-22.625,-23.25,-16.5,-23.125,-19.625,-17.5,-20.125,-21.75,-25.625,-22.0
309,-23.375,-22.5,-17.75,-20.375,-19.0,-19.5,-22.125,-23.0,-25.0,-21.125
310,-23.5,-23.75,-15.5625,-18.0,-18.0,-18.125,-20.25,-22.875,-24.125,-21.5
311,-25.5,-22.375,-18.75,-20.5,-20.625,-19.125,-23.5,-26.75,-24.25,-23.125
312,-22.75,-22.375,-17.75,-19.0,-17.25,-17.375,-21.125,-22.625,-24.375,-21.0
313,-23.0,-22.5,-19.125,-19.625,-17.625,-19.0,-20.0,-24.125,-24.0,-21.5
314,-21.5,-20.375,-17.625,-17.75,-15.625,-14.5,-19.375,-21.875,-20.625,-20.25
315,-21.125,-21.75,-16.375,-19.0,-18.0,-16.125,-20.875,-22.125,-22.5,-20.5
316,-21.125,-20.25,-14.6875,-16.75,-16.25,-14.625,-18.75,-20.125,-21.125,-19.125
317,-23.0,-22.125,-17.375,-19.125,-18.5,-17.375,-21.75,-22.25,-23.125,-21.5
318,-20.625,-20.125,-15.4375,-18.5,-15.9375,-16.375,-19.0,-21.25,-23.125,-20.375
319,-22.25,-21.875,-17.5,-19.625,-17.375,-18.0,-21.25,-22.0,-24.75,-21.75
320,-25.25,-24.625,-18.25,-21.0,-19.375,-18.875,-21.5,-25.0,-25.625,-23.875
321,-21.125,-20.25,-17.5,-16.5,-16.625,-15.9375,-17.875,-21.875,-21.5,-19.25
322,-21.875,-20.625,-16.5,-17.875,-17.25,-17.25,-17.625,-23.5,-22.25,-20.25
323,-22.375,-21.5,-17.125,-17.625,-17.375,-17.0,-20.0,-22.5,-22.5,-20.5
324,-22.75,-21.625,-17.5,-18.375,-17.875,-17.125,-20.125,-22.625,-23.375,-21.25
325,-21.75,-21.625,-15.75,-17.875,-17.375,-16.75,-20.375,-21.75,-22.5,-21.0
326,-22.625,-21.25,-16.25,-18.5,-17.375,-17.375,-20.875,-21.625,-23.625,-21.375
327,-23.0,-21.125,-17.125,-19.5,-18.125,-17.0,-20.625,-22.25,-23.0,-20.75
328,-21.25,-20.5,-16.875,-17.75,-17.625,-17.375,-19.875,-21.5,-22.75,-20.25
329,-23.75,-21.875,-18.375,-19.25,-19.0,-18.625,-21.875,-24.5,-24.375,-21.875
330,-21.375,-19.75,-13.875,-16.75,-16.75,-15.25,-17.875,-21.0,-21.75,-19.25
331,-22.25,-19.875,-15.6875,-18.375,-15.75,-15.3125,-18.0,-20.625,-21.125,-18.875
332,-24.125,-21.375,-16.75,-19.5,-18.125,-17.5,-20.875,-23.25,-23.125,-21.5
333,-19.625,-16.375,-13.9375,-16.625,-16.875,-15.0,-15.125,-20.5,-18.25,-17.75
334,-23.5,-22.875,-17.375,-20.375,-20.0,-18.5,-21.625,-23.375,-24.0,-22.75
335,-22.125,-21.25,-15.5,-18.875,-18.375,-17.0,-20.375,-21.5,-22.625,-21.0
336,-21.125,-19.625,-15.25,-17.75,-17.25,-16.0,-18.625,-20.75,-22.0,-20.5
337,-20.125,-19.125,-15.25,-17.25,-16.125,-15.25,-17.125,-20.625,-21.125,-18.625
338,-22.625,-21.375,-17.25,-19.875,-18.25,-18.125,-20.0,-22.5,-23.125,-21.0
339,-22.25,-20.375,-16.75,-19.0,-18.25,-17.5,-19.875,-22.5,-23.25,-20.75
340,-23.125,-21.875,-16.875,-19.625,-18.375,-17.5,-20.375,-22.625,-22.375,-22.0
341,-22.625,-20.75,-16.375,-19.5,-17.625,-17.375,-19.75,-22.375,-22.5,-21.25
342,-24.25,-23.0,-19.25,-20.0,-19.375,-18.125,-21.75,-24.375,-24.125,-23.125
343,-21.875,-21.0,-15.75,-21.75,-19.125,-21.125,-21.125,-22.875,-25.875,-20.25
344,-22.625,-21.625,-17.5,-19.125,-18.75,-17.375,-20.5,-23.0,-23.125,-22.375
345,-20.875,-20.25,-16.25,-17.125,-17.125,-14.75,-19.5,-21.75,-20.5,-19.75
346,-23.0,-21.5,-16.625,-18.875,-18.0,-17.625,-20.875,-22.0,-22.875,-21.5
347,-22.5,-20.375,-16.75,-18.375,-17.125,-15.5625,-19.375,-21.875,-19.875,-20.0
348,-21.875,-20.125,-16.625,-18.375,-16.625,-16.125,-19.625,-22.125,-22.125,-20.625
349,-23.125,-21.25,-17.875,-19.625,-18.0,-18.125,-20.75,-24.0,-24.25,-21.875
350,-21.75,-21.375,-14.125,-16.625,-15.8125,-16.0,-18.625,-21.375,-21.5,-18.625
351,-21.25,-19.75,-15.5625,-18.375,-16.0,-17.125,-19.0,-21.0,-22.875,-19.375
352,-23.5,-21.0,-17.25,-18.25,-17.25,-18.25,-20.125,-23.125,-22.875,-21.375
353,-22.75,-20.75,-17.625,-18.625,-17.5,-18.625,-20.375,-22.75,-23.0,-21.0
354,-22.0,-20.625,-16.5,-19.125,-17.125,-17.75,-20.125,-22.25,-23.0,-21.125
355,-21.25,-19.5,-14.5,-18.125,-16.5,-15.5,-18.375,-21.5,-21.125,-20.375
356,-22.75,-20.5,-17.125,-18.25,-17.25,-17.75,-19.25,-21.625,-22.125,-21.0
357,-19.625,-18.75,-16.625,-18.125,-18.625,-16.875,-16.875,-20.125,-21.75,-19.625
358,-22.625,-20.875,-17.375,-20.25,-18.5,-18.875,-20.0,-22.625,-23.875,-22.0
359,-22.875,-19.75,-18.375,-20.125,-17.0,-16.625,-19.625,-22.125,-21.625,-19.875
360,-23.875,-19.875,-17.5,-18.25,-18.625,-19.875,-17.5,-22.5,-22.375,-18.875
361,-22.75,-20.375,-15.9375,-19.25,-16.875,-17.875,-19.125,-21.375,-22.75,-20.125
362,-21.375,-18.75,-16.25,-18.375,-15.75,-15.5,-17.75,-21.0,-21.125,-19.125
363,-20.375,-18.875,-15.5,-17.0,-15.75,-15.3125,-17.125,-20.25,-20.625,-18.25
364,-21.875,-20.875,-16.5,-18.375,-17.375,-16.375,-19.75,-22.125,-22.0,-21.25
365,-22.0,-22.0,-15.375,-17.25,-17.375,-15.8125,-18.75,-21.625,-21.125,-20.625
366,-23.5,-23.125,-17.125,-21.25,-18.375,-16.125,-19.875,-22.5,-23.625,-22.125
367,-23.125,-22.0,-18.375,-20.0,-18.375,-18.5,-20.875,-22.625,-23.125,-21.5
368,-21.5,-21.125,-17.875,-19.0,-17.875,-18.75,-20.375,-22.25,-23.625,-21.25
369,-21.25,-19.0,-16.375,-17.625,-17.25,-17.25,-18.125,-21.75,-22.125,-18.875
370,-23.375,-22.875,-15.75,-18.25,-18.0,-18.0,-18.5,-23.625,-21.75,-20.625
371,-24.0,-22.5,-17.5,-19.875,-18.125,-18.25,-21.5,-23.0,-24.5,-22.0
372,-23.0,-21.0,-18.25,-18.5,-18.25,-18.5,-20.5,-23.0,-24.125,-21.75
373,-20.5,-19.375,-16.5,-16.375,-16.625,-16.0,-18.0,-20.5,-20.375,-19.25
374,-22.0,-21.75,-17.0,-18.375,-18.25,-17.5,-20.5,-21.5,-23.375,-21.375
375,-20.875,-21.75,-15.6875,-17.375,-17.25,-15.0,-19.75,-20.375,-21.875,-20.25
376,-23.25,-21.875,-18.5,-19.625,-18.875,-19.0,-23.25,-22.875,-24.5,-22.875
377,-22.375,-21.0,-17.125,-17.25,-17.125,-15.6875,-20.25,-23.125,-20.75,-20.875
378,-21.625,-20.75,-18.125,-18.125,-17.25,-17.25,-20.625,-21.625,-22.75,-20.625
379,-22.5,-21.375,-18.5,-19.625,-18.125,-18.375,-20.875,-23.125,-24.0,-21.5
380,-22.125,-21.75,-16.125,-19.25,-17.25,-17.0,-18.625,-22.5,-22.75,-21.0
381,-21.375,-20.625,-17.0,-17.875,-16.25,-17.25,-19.875,-22.0,-22.5,-20.375
382,-23.75,-23.25,-19.125,-19.875,-19.5,-19.875,-22.625,-23.875,-25.375,-22.875
383,-21.5,-20.75,-15.875,-17.5,-17.0,-17.0,-19.0,-21.875,-21.625,-20.625
384,-20.875,-20.5,-15.4375,-17.5,-17.25,-15.75,-19.0,-21.125,-21.0,-20.875
385,-22.375,-21.25,-16.25,-18.75,-17.625,-17.125,-20.625,-22.0,-21.5,-21.25
386,-21.375,-17.0,-16.25,-18.375,-17.25,-17.75,-18.375,-22.625,-22.0,-20.5
387,-21.0,-18.125,-16.75,-18.75,-16.125,-14.75,-18.125,-20.375,-19.625,-19.0
388,-20.75,-19.125,-15.875,-18.375,-17.125,-16.125,-19.25,-21.5,-21.625,-20.375
389,-23.25,-22.0,-18.25,-21.5,-19.125,-17.375,-20.375,-24.125,-24.125,-22.0
390,-21.625,-20.75,-17.0,-18.875,-17.375,-17.75,-20.125,-22.125,-23.375,-20.25
391,-22.125,-20.875,-17.125,-19.25,-17.125,-18.5,-20.5,-22.5,-23.375,-20.625
392,-23.625,-22.0,-19.875,-19.25,-18.625,-19.375,-21.375,-24.375,-24.25,-22.625
393,-20.875,-19.625,-16.625,-17.375,-16.75,-16.75,-19.25,-21.125,-21.375,-18.75
394,-21.375,-20.5,-17.0,-17.625,-17.75,-17.375,-19.875,-21.875,-22.125,-21.0
395,-22.25,-21.625,-17.25,-17.75,-17.125,-17.625,-21.25,-21.625,-22.125,-21.0
396,-21.25,-19.75,-16.25,-16.5,-15.875,-16.25,-18.875,-20.625,-21.5,-19.75
397,-23.0,-20.75,-18.5,-19.875,-16.875,-18.0,-19.375,-22.75,-21.25,-21.0
398,-22.25,-20.125,-17.125,-19.0,-16.5,-16.25,-19.125,-22.125,-21.875,-20.5
399,-20.5,-20.0,-16.125,-19.125,-16.75,-16.75,-19.0,-22.25,-22.25,-19.625
400,-23.75,-23.375,-15.875,-20.75,-18.5,-16.75,-20.0,-23.75,-22.875,-22.75
401,-25.0,-23.75,-19.125,-21.0,-16.75,-17.625,-21.5,-21.875,-21.875,-20.125
402,-23.5,-21.625,-18.375,-19.75,-18.0,-18.5,-20.625,-23.625,-24.125,-21.875
403,-23.25,-21.0,-18.125,-20.75,-16.75,-16.75,-17.875,-22.375,-23.125,-19.125
404,-22.375,-21.0,-19.625,-21.875,-18.625,-17.0,-22.0,-24.25,-22.875,-20.625
405,-22.0,-20.25,-16.875,-18.0,-18.625,-15.125,-17.875,-20.875,-20.375,-19.125
406,-22.5,-22.25,-18.375,-18.625,-17.875,-19.125,-20.75,-20.875,-22.5,-19.75
407,-23.625,-20.75,-17.0,-18.875,-18.875,-17.0,-20.0,-21.375,-21.125,-19.5
408,-22.75,-20.0,-16.75,-19.0,-17.0,-16.625,-19.0,-22.0,-22.125,-20.625
409,-23.625,-19.125,-17.125,-17.5,-16.875,-18.0,-20.75,-24.125,-24.625,-22.125
410,-22.625,-20.375,-18.25,-17.875,-16.0,-19.625,-19.625,-24.0,-22.25,-19.25
411,-23.875,-19.25,-16.875,-18.875,-18.5,-17.0,-18.875,-24.25,-24.125,-20.75
412,-24.625,-22.0,-19.625,-19.125,-17.125,-19.75,-20.25,-24.5,-23.5,-21.125
413,-22.25,-20.25,-17.25,-18.5,-17.75,-17.875,-19.625,-22.5,-20.875,-19.625
414,-22.625,-21.125,-18.75,-18.625,-18.75,-20.125,-21.375,-24.625,-24.375,-22.375
415,-24.75,-20.375,-17.0,-18.125,-17.25,-16.75,-19.75,-25.0,-22.25,-21.375
416,-26.375,-20.75,-21.5,-22.875,-19.625,-19.75,-21.125,-26.125,-24.875,-24.625
417,-22.25,-20.0,-18.125,-20.125,-18.5,-16.875,-19.0,-23.5,-19.5,-21.375
418,-22.0,-18.375,-17.5,-19.375,-16.375,-15.625,-19.0,-21.5,-21.875,-20.75
419,-24.625,-22.625,-17.625,-20.25,-19.0,-18.25,-20.625,-25.875,-26.375,-23.125
420,-21.375,-17.25,-18.5,-18.125,-19.125,-17.375,-18.5,-24.5,-22.875,-20.375
421,-23.0,-20.125,-18.375,-19.375,-17.5,-17.75,-20.25,-23.5,-22.75,-21.125
422,-21.5,-17.75,-17.5,-17.875,-17.25,-16.5,-17.25,-23.375,-19.875,-19.625
423,-20.875,-19.0,-17.25,-17.875,-17.0,-16.125,-18.5,-22.375,-21.125,-19.25
424,-21.625,-20.125,-16.625,-17.625,-17.5,-16.875,-19.5,-22.5,-21.5,-20.875
425,-21.75,-20.375,-16.375,-18.5,-17.25,-16.375,-19.125,-22.25,-21.5,-21.125
426,-22.875,-21.125,-18.0,-20.0,-18.5,-18.0,-20.875,-23.0,-24.625,-21.25
427,-22.875,-18.875,-17.875,-19.5,-17.375,-17.375,-17.75,-23.625,-22.875,-21.0
428,-23.125,-21.125,-19.375,-21.5,-18.75,-19.25,-19.875,-25.125,-24.625,-22.0
429,-22.375,-20.5,-18.375,-20.5,-18.75,-17.75,-20.25,-23.0,-23.5,-20.125
430,-22.75,-20.625,-17.875,-20.5,-18.0,-17.625,-19.5,-23.0,-22.5,-20.25
431,-22.75,-21.375,-18.5,-19.875,-17.75,-18.0,-20.875,-22.375,-23.0,-21.0
432,-20.875,-17.25,-16.375,-16.375,-17.375,-15.5,-17.5,-21.375,-19.375,-18.75
433,-22.0,-19.75,-17.75,-18.625,-18.125,-17.375,-20.0,-22.5,-20.75,-19.75
434,-20.75,-19.125,-16.5,-18.375,-17.5,-17.125,-19.875,-20.875,-20.375,-19.875
435,-22.25,-20.5,-17.75,-19.875,-17.0,-16.375,-20.625,-22.0,-21.25,-20.375
436,-23.625,-20.375,-19.125,-19.375,-16.625,-17.375,-20.125,-22.75,-22.625,-20.75
437,-22.375,-20.875,-19.0,-19.25,-17.75,-17.25,-20.5,-22.25,-22.625,-21.25
438,-21.25,-20.0,-18.25,-18.625,-16.125,-16.375,-19.625,-21.625,-22.5,-20.125
439,-22.375,-20.375,-19.375,-19.75,-17.75,-17.875,-20.625,-23.125,-23.25,-21.0
440,-20.75,-18.375,-15.875,-16.75,-17.125,-16.125,-18.375,-21.5,-20.125,-17.625
441,-21.75,-19.5,-17.5,-17.375,-17.625,-17.25,-19.625,-21.875,-21.5,-20.875
442,-25.125,-21.75,-19.25,-20.0,-22.625,-21.0,-20.375,-25.875,-24.375,-23.125
443,-22.125,-18.375,-19.0,-16.125,-16.125,-17.125,-19.5,-21.875,-21.75,-21.0
444,-22.5,-19.125,-16.875,-18.25,-19.875,-18.875,-18.0,-23.75,-21.125,-20.875
445,-22.875,-20.875,-17.375,-18.75,-18.25,-17.0,-20.5,-23.25,-21.5,-22.0
446,-22.125,-20.125,-17.5,-19.125,-18.75,-17.625,-20.75,-21.625,-21.75,-21.125
447,-23.125,-20.5,-18.5,-19.875,-19.0,-17.75,-20.75,-23.5,-21.5,-21.125
