,dog,cat,elephant,dolphin,penguin,giraffe,tiger,horse,butterfly,bird
196,1.0390625,0.96875,1.0859375,0.859375,0.93359375,0.8984375,0.9140625,1.0625,0.94921875,1.0390625
197,1.0546875,1.0,1.109375,0.86328125,0.921875,0.90234375,0.8984375,1.0625,0.96875,1.0234375
198,1.0,0.953125,1.0859375,0.83203125,0.90625,0.87109375,0.8828125,1.015625,0.92578125,1.0
199,1.0078125,0.97265625,1.078125,0.8203125,0.90625,0.875,0.8828125,1.0390625,0.90625,0.96875
200,0.96484375,0.90625,1.0234375,0.77734375,0.8671875,0.828125,0.83984375,0.96484375,0.8671875,0.92578125
201,0.984375,0.9296875,1.046875,0.7890625,0.87890625,0.83984375,0.828125,0.98828125,0.8828125,0.9296875
202,1.0703125,1.03125,1.140625,0.8671875,0.96875,0.91796875,0.953125,1.1015625,0.98046875,1.0625
203,1.1640625,1.1171875,1.234375,0.94140625,1.0625,1.0,1.015625,1.171875,1.0546875,1.1328125
204,1.140625,1.125,1.234375,0.96484375,1.0625,1.015625,1.0390625,1.2265625,1.0625,1.1015625
205,1.125,1.109375,1.234375,0.96484375,1.0546875,1.03125,1.03125,1.21875,1.078125,1.1171875
206,1.1484375,1.140625,1.234375,0.97265625,1.09375,1.0546875,1.0390625,1.25,1.0859375,1.1953125
207,1.1484375,1.125,1.296875,0.97265625,1.078125,1.03125,1.015625,1.2109375,1.09375,1.171875
208,1.1484375,1.1171875,1.28125,0.97265625,1.109375,1.03125,1.0625,1.2109375,1.078125,1.1796875
209,1.1953125,1.140625,1.25,0.9921875,1.1015625,1.0390625,1.046875,1.234375,1.109375,1.1953125
210,1.1015625,1.0546875,1.1875,0.91796875,1.046875,0.98046875,1.015625,1.1953125,1.0390625,1.1328125
211,1.1640625,1.1328125,1.28125,0.96875,1.0859375,1.015625,1.046875,1.203125,1.0703125,1.1796875
212,1.1484375,1.1328125,1.2421875,0.9609375,1.078125,1.0078125,1.0234375,1.1796875,1.0625,1.1171875
213,1.234375,1.140625,1.265625,1.0,1.078125,1.03125,1.09375,1.1796875,1.09375,1.140625
214,1.1953125,1.1484375,1.265625,0.9609375,1.078125,1.046875,1.0625,1.2109375,1.0859375,1.109375
215,1.1640625,1.09375,1.25,0.953125,1.0859375,1.0234375,1.03125,1.2265625,1.09375,1.15625
216,1.25,1.15625,1.2890625,0.98046875,1.0859375,1.0390625,1.0390625,1.2421875,1.078125,1.1796875
217,1.234375,1.1796875,1.296875,0.9921875,1.109375,1.0625,1.0625,1.265625,1.125,1.203125
218,1.234375,1.1328125,1.296875,0.99609375,1.125,1.078125,1.0625,1.2421875,1.1171875,1.1796875
219,1.1484375,1.1640625,1.296875,0.97265625,1.09375,1.03125,1.078125,1.234375,1.109375,1.1796875
220,1.1171875,1.1015625,1.2109375,0.91796875,1.0234375,0.96875,0.9921875,1.171875,1.046875,1.0859375
221,1.203125,1.125,1.25,0.95703125,1.078125,1.03125,1.03125,1.2109375,1.1015625,1.1484375
222,1.15625,1.109375,1.25,0.93359375,1.0703125,1.0234375,1.0625,1.2109375,1.0625,1.15625
223,1.2265625,1.1328125,1.2890625,0.98046875,1.078125,1.046875,1.0625,1.21875,1.1015625,1.1796875
224,1.2421875,1.1484375,1.296875,0.9765625,1.09375,1.046875,1.046875,1.265625,1.1015625,1.1796875
225,1.171875,1.078125,1.21875,0.9453125,1.0546875,1.0,0.98828125,1.1953125,1.0546875,1.1171875
226,1.203125,1.1328125,1.28125,0.96484375,1.1171875,1.046875,1.046875,1.234375,1.09375,1.171875
227,1.203125,1.1171875,1.28125,0.98046875,1.109375,1.0703125,1.0390625,1.234375,1.1015625,1.1796875
228,1.25,1.1328125,1.296875,0.98828125,1.1171875,1.0546875,1.0546875,1.203125,1.09375,1.171875
229,1.265625,1.1328125,1.296875,1.0,1.1015625,1.0703125,1.0625,1.2421875,1.1171875,1.1796875
230,1.140625,1.0625,1.234375,0.94921875,1.03125,1.03125,1.015625,1.1953125,1.046875,1.125
231,1.234375,1.1171875,1.28125,0.96875,1.078125,1.03125,1.0390625,1.2421875,1.109375,1.2265625
232,1.203125,1.1484375,1.25,0.97265625,1.046875,1.0078125,1.0078125,1.1875,1.0859375,1.1796875
233,1.1875,1.1640625,1.2734375,0.984375,1.09375,1.078125,1.0390625,1.21875,1.078125,1.1640625
234,1.2109375,1.125,1.296875,0.9765625,1.1015625,1.0546875,1.0625,1.234375,1.09375,1.1484375
235,1.2265625,1.1484375,1.265625,0.9921875,1.078125,1.03125,1.0703125,1.2265625,1.09375,1.1328125
236,1.21875,1.1484375,1.28125,1.0078125,1.1015625,1.078125,1.0703125,1.2734375,1.109375,1.1640625
237,1.234375,1.140625,1.28125,1.0,1.1015625,1.0546875,1.0546875,1.25,1.1015625,1.171875
238,1.2265625,1.15625,1.28125,1.0,1.1171875,1.0390625,1.078125,1.2578125,1.0859375,1.1875
