,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
50,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
51,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
52,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
53,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
54,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
55,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
56,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
57,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
58,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
59,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
60,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
61,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
62,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
63,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
64,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
65,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
66,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
67,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
68,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
69,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
70,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
