,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
359,-0.875,-7.375,-0.3125,3.8125,0.6875,-1.625,6.125,0.9375,-3.1875,-0.9375
360,-2.5,-0.625,-1.125,3.625,0.75,-2.0,5.0,0.0,-7.125,2.3125
361,-0.15625,-7.25,-1.0625,4.75,0.3125,-1.25,5.4375,0.5625,-2.625,-0.375
362,-0.015625,-5.6875,-1.3125,4.25,-0.0625,-0.25,6.75,1.1875,-2.375,-1.0
363,-0.859375,-5.375,-0.875,3.625,1.5625,-0.8125,5.75,1.5,-1.875,-0.25
364,-0.9375,-3.1875,-1.125,4.8125,1.25,0.25,6.5,2.125,-1.4375,-0.625
365,-2.0625,-6.4375,-0.5625,2.4375,1.4375,-0.9375,5.5625,0.6875,-4.4375,2.3125
366,-1.03125,-3.21875,1.09375,2.5,2.21875,-0.03125,6.5,2.6875,-1.71875,1.28125
367,-1.234375,-6.375,-1.1875,1.5625,1.875,-0.375,6.9375,2.5625,-2.4375,-0.25
368,-1.84375,-3.90625,-1.4375,3.0,1.5625,0.3125,6.25,2.90625,-2.625,-1.1875
369,-1.46875,-6.46875,-0.90625,2.1875,0.9375,-0.03125,6.375,1.71875,-3.3125,-0.375
370,-2.6875,-5.0,-0.5,0.3125,1.5,-0.3125,7.0,2.1875,-3.3125,-0.125
371,-1.75,-6.9375,-1.3125,0.9375,1.375,-0.6875,4.9375,1.625,-2.8125,-0.8125
372,-1.21875,-5.59375,-0.78125,3.28125,1.125,-0.21875,5.96875,1.40625,-2.625,-0.625
373,-2.25,-5.6875,-0.8125,2.375,2.0,-0.4375,5.375,2.1875,-2.875,-1.0625
374,-1.6875,-4.8125,-1.3125,3.46875,1.53125,0.15625,6.09375,2.09375,-1.28125,-1.75
375,-1.5625,-6.25,0.5625,0.125,3.3125,-0.8125,4.75,1.8125,-3.625,-0.9375
376,-1.0625,-4.875,-0.65625,2.5,2.40625,-0.6875,7.03125,1.65625,-2.875,-0.875
377,-0.640625,-4.0,-0.125,0.3125,4.4375,-0.375,7.0,2.625,-2.375,-0.1875
378,-2.1875,-4.9375,-1.0625,1.0625,2.0,-0.9375,6.0,1.625,-2.1875,-2.0625
379,-1.84375,-6.78125,-1.09375,1.25,2.28125,-0.625,6.46875,2.40625,-2.25,-1.5
380,-2.125,-3.15625,-1.3125,1.9375,1.875,-0.8125,6.96875,1.75,-2.6875,-1.625
381,-0.28125,-4.90625,-0.65625,1.75,2.34375,-0.5625,5.71875,2.15625,-1.53125,-0.8125
382,-0.421875,-4.0,-1.5,3.0,1.6875,-0.4375,6.4375,2.0,-1.375,-0.9375
383,-1.375,-4.3125,-0.65625,2.625,1.65625,-0.21875,5.53125,2.75,-1.59375,-1.375
384,0.375,-2.1875,0.34375,5.0625,2.71875,0.90625,6.34375,2.6875,-0.78125,0.125
385,-1.65625,-5.15625,-0.75,1.125,2.3125,0.0,5.625,2.53125,-2.25,-0.75
386,-0.96875,-3.9375,-0.78125,1.625,0.75,-0.09375,8.625,1.28125,-3.0,0.5
387,-1.5625,-5.375,-1.1875,1.0625,1.0625,0.125,6.875,2.5625,-2.1875,0.1875
388,-1.9375,-3.625,-1.375,2.25,1.625,0.4375,6.4375,3.25,-1.875,-0.3125
389,-2.5625,-5.875,-1.3125,0.4375,0.875,0.5,5.8125,2.9375,-2.0625,-0.1875
390,-2.25,-5.125,-0.9375,0.4375,0.6875,-0.125,7.5625,2.125,-2.8125,-0.125
391,-1.0,-6.1875,-1.1875,2.125,0.0,0.25,6.65625,2.34375,-1.875,-0.625
392,-1.21875,-5.09375,-1.03125,3.53125,-0.5625,0.21875,7.21875,2.375,-1.34375,0.0625
393,-1.90625,-7.28125,-1.09375,2.3125,0.875,-0.21875,6.28125,2.34375,-2.3125,-0.875
394,-1.5,-5.125,-1.25,3.1875,1.0,0.875,7.6875,2.75,-1.125,-0.4375
395,-2.15625,-5.84375,-0.125,2.125,-0.25,0.4375,7.75,3.46875,-2.0,0.4375
396,-1.0625,-5.5,-0.28125,3.34375,-0.5,-0.03125,9.125,2.5625,-2.375,0.5
397,-1.3125,-5.875,-0.5,2.5,1.5,0.125,8.125,2.75,-1.375,-0.3125
