,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
206,-5.0,-5.3125,-9.9375,-8.3125,-9.8125,-8.5,-6.78125,-8.375,-6.78125,-9.3125
207,-5.21875,-5.9375,-9.0,-8.6875,-10.375,-9.0625,-7.3125,-7.625,-7.5625,-10.625
208,-6.09375,-3.265625,-9.5,-9.875,-10.4375,-9.0,-7.8125,-7.71875,-8.5,-11.3125
209,-7.03125,-8.75,-10.5625,-10.4375,-13.0625,-9.6875,-7.3125,-8.375,-9.3125,-11.75
210,-6.4375,-5.3125,-9.375,-10.5,-11.0,-9.5625,-7.21875,-9.375,-8.375,-10.4375
211,-5.3125,-7.6875,-10.75,-8.625,-11.4375,-9.875,-7.90625,-9.25,-8.375,-9.875
212,-6.0625,-7.0,-10.875,-8.375,-13.5,-10.4375,-6.25,-9.0625,-10.375,-9.6875
213,-6.5,-7.5625,-9.8125,-10.25,-12.4375,-10.1875,-8.5625,-8.6875,-9.0,-10.3125
214,-6.46875,-7.28125,-10.0625,-8.125,-12.3125,-8.6875,-7.75,-9.0,-8.75,-11.0
215,-6.5625,-8.0625,-9.5625,-9.5,-9.8125,-9.9375,-8.5625,-8.9375,-9.875,-10.4375
216,-5.4375,-3.75,-9.0625,-8.625,-11.5,-9.875,-7.375,-9.8125,-10.5,-5.75
217,-7.0,-7.875,-9.75,-9.75,-9.8125,-9.875,-8.125,-8.8125,-9.0,-9.375
218,-7.5,-6.25,-10.5625,-12.125,-10.75,-9.875,-9.25,-8.8125,-9.25,-10.3125
219,-7.59375,-9.125,-9.9375,-10.4375,-10.8125,-10.0625,-8.125,-8.75,-9.6875,-10.125
220,-9.0625,-6.5625,-11.0625,-9.1875,-9.75,-9.8125,-8.4375,-10.4375,-10.0,-9.25
221,-7.09375,-8.375,-10.1875,-7.34375,-10.25,-9.5,-9.5,-9.8125,-8.75,-9.8125
222,-4.375,-6.1875,-10.0,-6.375,-9.3125,-7.875,-7.875,-9.9375,-9.0,-8.0
223,-8.625,-8.0,-11.0625,-11.5625,-10.9375,-10.4375,-10.8125,-8.6875,-10.0625,-10.4375
224,-6.15625,-5.21875,-9.125,-7.40625,-9.0625,-8.9375,-8.875,-8.75,-8.5625,-9.5
225,-6.78125,-7.78125,-9.0625,-9.0,-9.0625,-9.8125,-9.375,-9.3125,-10.625,-9.1875
226,-6.3125,-6.25,-9.6875,-8.625,-10.1875,-9.0,-8.6875,-8.6875,-8.75,-9.3125
227,-5.125,-5.625,-9.25,-8.8125,-9.9375,-8.875,-7.125,-9.125,-7.9375,-8.3125
228,-6.25,-3.671875,-8.375,-8.0625,-10.4375,-9.25,-7.78125,-8.0,-9.0625,-10.25
229,-7.75,-7.8125,-9.5625,-9.625,-10.125,-9.875,-8.3125,-8.0625,-9.125,-10.4375
230,-7.375,-4.5625,-9.875,-9.6875,-10.0,-9.3125,-8.9375,-9.5,-9.3125,-10.6875
231,-6.71875,-7.40625,-10.3125,-9.3125,-10.9375,-10.25,-10.4375,-8.9375,-9.5625,-11.0625
232,-6.21875,-5.625,-9.875,-8.6875,-10.4375,-9.1875,-8.9375,-8.8125,-9.0625,-10.25
233,-6.625,-6.1875,-10.3125,-10.125,-9.75,-10.25,-9.8125,-8.125,-9.625,-11.0
234,-6.21875,-5.625,-11.4375,-9.25,-10.25,-9.5,-8.5,-9.6875,-10.0,-10.5625
235,-7.21875,-7.34375,-10.8125,-11.125,-9.625,-10.75,-9.625,-8.375,-10.25,-11.375
236,-6.21875,-5.65625,-11.1875,-9.4375,-9.9375,-9.75,-8.3125,-8.0625,-8.9375,-9.6875
237,-5.75,-6.125,-10.375,-10.25,-9.3125,-9.9375,-7.6875,-8.4375,-8.625,-9.25
238,-7.25,-5.9375,-12.25,-10.5625,-10.0625,-10.6875,-9.6875,-8.3125,-8.9375,-10.625
239,-6.03125,-7.21875,-11.875,-8.8125,-9.4375,-10.8125,-9.4375,-8.6875,-7.59375,-11.125
240,-6.0625,-3.875,-10.0625,-8.75,-8.375,-10.25,-7.59375,-9.5,-10.0,-8.4375
241,-5.125,-6.625,-10.875,-7.53125,-9.25,-9.0625,-8.5,-8.8125,-7.78125,-9.6875
242,-5.09375,-5.90625,-11.3125,-7.8125,-10.1875,-8.75,-8.0,-9.875,-8.9375,-8.875
243,-5.875,-6.1875,-10.0625,-9.625,-8.5625,-9.0625,-8.8125,-8.9375,-7.75,-8.3125
244,-6.46875,-5.28125,-11.375,-8.125,-9.1875,-8.625,-8.3125,-9.0625,-8.5,-9.75
245,-6.75,-6.875,-11.75,-9.8125,-8.3125,-10.3125,-8.5625,-9.375,-9.0625,-9.25
246,-5.65625,-6.65625,-12.5,-9.125,-8.75,-9.0625,-7.3125,-9.25,-9.125,-8.6875
247,-5.875,-6.0,-11.875,-10.3125,-11.5,-10.125,-8.5625,-11.75,-8.5,-7.53125
248,-6.59375,-3.65625,-11.75,-11.4375,-7.59375,-9.5625,-8.75,-8.9375,-8.9375,-9.0625
249,-7.5625,-8.0625,-12.1875,-11.3125,-8.1875,-10.75,-8.4375,-9.5,-9.1875,-9.4375
250,-7.0625,-4.71875,-9.8125,-9.75,-4.25,-9.5625,-8.8125,-10.5,-9.25,-8.25
251,-6.125,-8.25,-11.625,-9.75,-6.75,-11.0,-9.6875,-10.5625,-9.25,-9.5
252,-5.125,-5.0,-9.1875,-8.8125,-7.40625,-9.5625,-8.3125,-10.0625,-10.3125,-7.625
253,-5.6875,-6.125,-9.4375,-10.9375,-8.1875,-10.0,-8.375,-9.125,-8.3125,-9.625
254,-7.34375,-5.28125,-11.5,-9.875,-7.75,-9.9375,-8.4375,-10.1875,-10.75,-8.9375
255,-7.0625,-4.5625,-9.3125,-10.3125,-7.15625,-11.9375,-8.0625,-10.125,-11.5625,-7.1875
256,-6.3125,-4.34375,-7.6875,-9.125,-5.1875,-9.8125,-7.375,-9.75,-10.0,-7.375
257,-6.96875,-7.4375,-9.875,-10.375,-7.9375,-11.375,-8.0625,-9.75,-9.875,-9.375
258,-6.4375,-5.5,-9.125,-9.0,-9.875,-10.375,-7.625,-9.125,-9.375,-9.25
259,-7.78125,-9.1875,-9.375,-10.375,-9.875,-10.9375,-8.0625,-9.25,-9.75,-10.0625
260,-7.0625,-4.8125,-8.5625,-8.6875,-8.5625,-10.1875,-6.4375,-9.3125,-9.8125,-9.0625
261,-5.875,-7.4375,-9.5625,-8.3125,-10.25,-10.25,-7.84375,-8.6875,-8.5625,-9.8125
262,-7.09375,-6.40625,-10.1875,-8.625,-9.375,-9.375,-7.3125,-9.5,-9.75,-9.9375
263,-7.84375,-6.71875,-10.125,-9.875,-9.1875,-10.125,-8.3125,-8.3125,-10.125,-10.125
264,-7.125,-4.9375,-10.0625,-8.5625,-10.125,-9.0,-7.625,-9.25,-9.8125,-10.5625
265,-8.375,-6.71875,-10.5,-10.8125,-9.6875,-10.6875,-8.1875,-8.375,-10.9375,-10.0
266,-7.84375,-5.625,-10.5625,-8.875,-9.25,-9.0625,-7.71875,-8.5625,-10.375,-9.3125
267,-7.75,-6.9375,-10.625,-10.3125,-9.3125,-10.0625,-7.65625,-8.8125,-10.0625,-9.4375
268,-7.59375,-4.78125,-10.375,-9.3125,-8.8125,-9.125,-8.1875,-7.6875,-9.1875,-9.8125
269,-8.25,-7.65625,-10.4375,-11.4375,-8.25,-9.75,-8.1875,-8.5,-9.5625,-10.0
270,-7.15625,-5.03125,-9.0,-8.875,-10.0,-10.3125,-8.0625,-9.0,-11.75,-8.4375
271,-7.1875,-8.0,-9.6875,-9.25,-10.1875,-10.0,-8.5,-9.0,-9.125,-8.875
272,-6.28125,-5.71875,-8.125,-8.1875,-9.875,-9.1875,-7.65625,-9.0625,-9.8125,-8.25
273,-7.59375,-7.28125,-7.90625,-9.125,-10.125,-9.0,-9.6875,-7.96875,-8.875,-8.9375
274,-7.78125,-6.71875,-10.25,-8.6875,-9.9375,-8.875,-8.9375,-9.5625,-8.5625,-10.5625
