,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
825,21.5,21.5,23.0,21.875,20.125,19.625,18.375,17.875,23.125,19.375
826,18.875,19.75,20.125,18.5,17.125,17.0,14.625,13.25,19.75,16.75
827,17.375,19.625,20.375,17.75,15.75,17.0,14.0,12.5,18.625,17.875
828,18.875,21.625,21.125,18.625,16.0,16.5,16.0,15.125,19.375,18.125
829,19.75,21.0,22.0,20.0,18.25,18.125,17.25,16.875,21.875,18.5
830,17.25,19.875,20.375,19.125,17.875,18.375,14.625,15.75,19.25,16.375
831,18.0,19.125,18.75,18.5,16.5,15.75,14.125,14.625,20.25,14.625
832,19.0,20.625,20.0,18.75,17.375,16.875,15.125,14.0,19.5,17.5
833,16.75,19.125,18.0,17.25,14.0,13.75,13.25,13.0,16.75,14.5
834,18.75,21.875,20.25,20.0,17.5,17.0,15.25,16.0,20.125,16.75
835,17.875,19.875,21.75,18.75,16.5,17.5,15.25,15.875,20.375,16.375
836,14.625,16.0,15.875,15.125,12.375,13.875,12.125,11.25,16.125,13.625
837,15.5,16.75,18.0,17.5,15.0,15.0,12.25,12.75,16.375,15.125
838,17.5,18.875,18.875,16.5,15.375,14.75,14.5,13.875,17.0,14.875
839,17.125,18.0,18.625,17.25,17.125,16.0,14.625,13.75,18.375,15.125
840,14.375,15.375,16.625,15.375,13.375,13.75,10.5,12.25,15.75,12.25
841,17.375,17.875,18.375,17.125,14.0,14.75,11.875,12.25,16.625,13.625
842,15.125,16.25,16.25,15.375,12.375,12.0,11.125,11.625,15.375,13.375
843,17.75,20.5,18.25,18.875,16.5,15.625,14.375,13.5,18.875,15.5
844,17.75,19.375,18.75,17.625,14.125,14.625,14.625,14.125,17.125,14.75
845,18.75,20.875,20.125,18.5,17.375,18.0,15.75,15.5,18.875,16.625
846,13.5,13.75,14.625,14.0,11.0,11.875,9.875,10.0,14.125,11.0
847,16.125,17.625,17.625,15.875,13.625,13.5,12.75,12.375,16.125,15.375
848,17.625,18.25,17.0,17.0,15.0,16.0,14.125,13.0,18.0,15.0
849,18.625,21.125,21.0,19.375,18.5,18.125,14.75,15.5,20.5,16.75
850,22.25,23.125,24.0,23.25,19.5,20.625,18.5,19.125,21.875,19.5
851,20.0,19.375,22.0,20.875,17.375,18.125,17.375,15.875,20.125,17.5
852,19.25,19.0,21.375,20.125,15.75,16.625,15.25,14.875,19.375,16.0
853,17.875,18.625,19.5,19.0,15.875,15.125,15.0,13.625,19.0,15.75
854,18.875,19.875,20.75,19.625,16.75,16.75,15.875,16.75,19.875,17.0
855,21.375,21.875,22.125,21.25,18.5,19.0,17.375,17.125,21.25,20.0
856,19.125,19.0,21.5,20.25,17.625,18.0,16.125,14.75,20.25,17.0
857,20.625,21.75,21.75,20.75,17.75,18.125,16.875,16.5,19.5,18.375
858,20.25,21.875,24.25,22.75,20.625,20.25,17.5,19.25,24.125,19.875
859,21.125,22.875,24.625,22.625,20.875,20.875,19.25,19.875,24.0,18.75
860,19.5,19.75,20.375,19.625,17.625,17.875,15.5,15.375,20.75,16.625
861,17.75,18.125,18.875,17.625,15.625,15.75,13.5,13.75,18.625,14.5
862,19.125,19.875,21.25,19.625,16.875,16.875,15.125,15.0,19.0,16.125
863,18.875,21.375,22.625,20.875,18.125,18.0,16.625,16.0,20.0,18.125
864,19.75,22.625,23.375,22.75,20.0,20.25,18.5,19.25,22.25,18.25
