,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
50,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
51,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
52,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
53,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
54,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
55,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
56,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
57,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
58,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
59,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
60,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
61,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
62,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
63,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
64,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
65,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
66,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
67,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
68,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
69,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
70,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
71,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
72,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
73,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
74,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
75,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
76,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
77,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
78,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
79,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
80,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
81,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
82,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
83,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
84,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
85,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
86,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
87,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
88,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
89,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
90,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
91,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
92,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
93,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
94,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
95,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
96,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
97,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
98,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
99,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
000,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
001,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
002,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
003,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
004,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
005,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
006,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
007,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
008,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
009,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
010,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
011,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
012,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
013,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
014,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
